system   D            wsystem.c:583  maybe_parent_dir                 [   0.02890] Also searching D:\C++\Allegro\GameLoopSystemTest\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.02909] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.02911] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.02979] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.05580] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.05584] Allegro version: 5.0.10
dtor     D               dtor.c:184  _al_register_destructor          [   0.05594] added dtor for object 0080E7A0, func 546524D2
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.05631] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.05633] al_display=008AB2F0
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.05634] al_display->vt=008AB238
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06816] found 128 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.06819] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06820] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06821] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.06823] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.06823] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06825] Score is : 726
display  D   display_settings.c:191  debug_display_settings           [   0.06825] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.06827] Score is : 721
display  D   display_settings.c:191  debug_display_settings           [   0.06827] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
